card_name,character,card_type,rarity,set,card_number,population,last_sale_usd,price_on_application
Champion Miss Fortune (English),Miss Fortune,Champion,Prize Card,Origins,193b,1,100000,False
Champion Blade of the Ruined King,Blade of the Ruined King,Champion,Prize Card,Spiritforged,178a,4,40000,False
Best of Ahri,Ahri,Best Of,Prize Card,Origins,255,9,30300,False
Best of Jinx,Jinx,Best Of,Prize Card,Origins,251,9,28500,False
Black Label Ahri Signature SFD,Ahri,Black Label,Signature,Spiritforged,,14,25000,False
Black Label Ultimate Baron,Baron,Black Label,Epic,Unleashed,238/219,1,25000,False
Best of Kaisa,Kai'Sa,Best Of,Prize Card,Origins,247,9,25000,False
Best of Lux,Lux,Best Of,Prize Card,Origins,021,9,23000,False
Best of Teemo,Teemo,Best Of,Prize Card,Origins,263,9,22000,False
Best of Irelia,Irelia,Best Of,Prize Card,Spiritforged,195,12,20000,False
Black Label Signature Irelia,Irelia,Black Label,Signature,Spiritforged,255*/221,5,20000,False
Best of Leblanc,LeBlanc,Best Of,Prize Card,Unleashed,199/219,12,19000,False
Best of Viktor,Viktor,Best Of,Prize Card,Origins,265,9,18000,False
Best of Yasuo,Yasuo,Best Of,Prize Card,Origins,259,9,18000,False
Best of Leona,Leona,Best Of,Prize Card,Origins,261,9,16000,False
Best of Draven,Draven,Best Of,Prize Card,Spiritforged,185,12,15000,False
Best of Lee Sin,Lee Sin,Best Of,Prize Card,Origins,257,9,15000,False
Best of Miss Fortune,Miss Fortune,Best Of,Prize Card,Origins,267,9,15000,False
Best of Jhin,Jhin,Best Of,Prize Card,Unleashed,181/219,12,15000,False
Best of Annie,Annie,Best Of,Prize Card,Origins,17,9,15000,False
Best of Master Yi,Master Yi,Best Of,Prize Card,Origins,19,9,15000,False
Best of Ezreal,Ezreal,Best Of,Prize Card,Spiritforged,199,12,15000,False
Best of Sett,Sett,Best Of,Prize Card,Origins,269,9,14000,False
Best of Volibear,Volibear,Best Of,Prize Card,Origins,249,9,12000,False
Best of Garen,Garen,Best Of,Prize Card,Origins,23,9,12000,False
Best of Renata,Renata,Best Of,Prize Card,Spiritforged,201,12,12000,False
Best of Darius,Darius,Best Of,Prize Card,Origins,253,9,11000,False
Best of Azir,Azir,Best Of,Prize Card,Spiritforged,197,12,11000,False
Best of Jax,Jax,Best Of,Prize Card,Spiritforged,193,12,10500,False
Best of Master Yi Wuju Master,Master Yi,Best Of,Prize Card,Unleashed,191/219,12,10500,False
Best of Lucian,Lucian,Best Of,Prize Card,Spiritforged,183,12,10500,False
Best of Ivern,Ivern,Best Of,Prize Card,Unleashed,195/219,12,10500,False
Best of Sivir,Sivir,Best Of,Prize Card,Spiritforged,203,12,10000,False
Best of Rumble,Rumble,Best Of,Prize Card,Spiritforged,181,12,10000,False
Best of Ornn,Ornn,Best Of,Prize Card,Spiritforged,189,12,10000,False
Best of Pyke,Pyke,Best Of,Prize Card,Unleashed,185/219,12,,True
Best of Rengar,Rengar,Best Of,Prize Card,Unleashed,183/219,12,,True
Poppy Champion,Poppy,Champion,Prize Card,Unleashed,178b/219,4,,True
Best of Diana,Diana,Best Of,Prize Card,Unleashed,197/219,,,True
Best of Vex,Vex,Best Of,Prize Card,Unleashed,193/219,12,,True
Best of Fiora,Fiora,Best Of,Prize Card,Origins,205,12,,True
Best of Leona BGS 9.5,Leona,Best Of,Prize Card,Origins,261,1,,True
Best of Lillia,Lillia,Best Of,Prize Card,Unleashed,189/219,12,,True
Best of Poppy,Poppy,Best Of,Prize Card,Unleashed,203/219,12,,True
Best of Rek'Sai,Rek'Sai,Best Of,Prize Card,Spiritforged,187,12,,True
Best of Vi,Vi,Best Of,Prize Card,Unleashed,167,12,,True
